record_id,caller_person_id,receiver_person_id,caller_number,receiver_number,timestamp,duration_seconds,call_type,tower_reference,source_system
CALL00001,P036,P019,+91 9821597187,+91 9961366134,2025-12-24 16:55:43,560,voice,TWR-162,Telecom Provider CDR
CALL00002,P008,P003,+91 9949882535,+91 9812035599,2025-12-08 10:10:17,324,voice,TWR-160,Telecom Provider CDR
CALL00003,P026,P014,+91 7087393203,+91 8048728842,2025-10-08 09:45:19,0,missed,TWR-166,Telecom Provider CDR
CALL00004,P038,P040,+91 8063442307,+91 8079814367,2025-09-20 12:30:59,0,voicemail,TWR-182,Telecom Provider CDR
CALL00005,P034,P020,+91 9021933488,+91 9978957272,2026-03-02 09:40:22,0,voicemail,TWR-136,Telecom Provider CDR
CALL00006,P012,P013,+91 7017878352,+91 9025419329,2025-11-12 22:35:19,470,voice,TWR-139,Telecom Provider CDR
CALL00007,P023,P013,+91 7050152218,+91 9025419329,2025-10-28 09:55:30,258,voice,TWR-119,Telecom Provider CDR
CALL00008,P011,P017,+91 9854026519,+91 9945836599,2026-04-21 10:40:05,0,missed,TWR-115,Telecom Provider CDR
CALL00009,P019,P025,+91 9961366134,+91 9058248303,2025-10-21 09:35:37,355,voice,TWR-143,Telecom Provider CDR
CALL00010,P018,P008,+91 9025135342,+91 9949882535,2026-01-25 12:30:25,0,voicemail,TWR-110,Telecom Provider CDR
CALL00011,P035,P032,+91 7011946866,+91 9012057074,2026-01-05 09:20:55,0,voicemail,TWR-176,Telecom Provider CDR
CALL00012,P024,P010,+91 9894670613,+91 9891274271,2026-02-07 21:35:59,805,voice,TWR-142,Telecom Provider CDR
CALL00013,P019,P012,+91 9961366134,+91 7017878352,2025-12-23 21:50:31,0,missed,TWR-179,Telecom Provider CDR
CALL00014,P041,P003,+91 9076168413,+91 9812035599,2025-09-11 23:40:49,397,voice,TWR-108,Telecom Provider CDR
CALL00015,P041,P021,+91 9076168413,+91 7092466518,2025-10-31 18:05:57,492,voice,TWR-142,Telecom Provider CDR
CALL00016,P016,P017,+91 9858538223,+91 9945836599,2025-09-16 16:25:32,379,voice,TWR-135,Telecom Provider CDR
CALL00017,P001,P041,+91 9029837164,+91 9076168413,2025-11-15 08:45:19,0,voicemail,TWR-183,Telecom Provider CDR
CALL00018,P004,P011,+91 9817447787,+91 9854026519,2026-03-01 06:55:35,0,voicemail,TWR-170,Telecom Provider CDR
CALL00019,P005,P002,+91 8041629537,+91 9924029930,2025-09-22 09:15:43,800,voice,TWR-127,Telecom Provider CDR
CALL00020,P034,P025,+91 9021933488,+91 9058248303,2025-10-13 12:20:58,495,voice,TWR-180,Telecom Provider CDR
