visitor_log_id,visitor_name,location_id,timestamp,purpose,host_person_id
VL0001,Harish Patel,L026,2026-04-11 21:30:47,Meeting,P001
VL0002,Ritu Sahu,L022,2026-01-01 23:15:27,Maintenance,P009
VL0003,Naveen Bal,L011,2025-10-16 21:30:43,Maintenance,P024
VL0004,Manoj Acharya,L006,2025-12-25 09:25:46,Meeting,P004
VL0005,Swati Nair,L014,2026-01-17 23:25:50,Personal visit,P005
VL0006,Sapna Das,L014,2025-10-19 11:10:28,Meeting,P015
VL0007,Arjun Rout,L022,2025-10-02 20:50:11,Delivery,P001
VL0008,Nikhil Sahu,L010,2025-11-16 17:35:03,Meeting,P002
VL0009,Sunil Gupta,L018,2026-03-30 06:30:24,Interview,P019
VL0010,Nikhil Verma,L002,2026-01-05 10:50:43,Delivery,P029
VL0011,Karan Das,L014,2025-12-04 17:50:55,Maintenance,P007
VL0012,Harish Swain,L026,2026-02-18 19:35:46,Interview,P023
VL0013,Prakash Dash,L014,2025-09-10 20:25:25,Meeting,P006
VL0014,Vandana Jena,L011,2026-03-19 16:20:43,Meeting,P042
VL0015,Pramod Mallick,L022,2025-11-04 18:00:20,Meeting,P034
VL0016,Ajay Das,L014,2025-11-28 22:35:51,Interview,P031
VL0017,Sandeep Choudhury,L014,2025-11-25 18:20:00,Maintenance,P003
VL0018,Rajesh Swain,L014,2026-04-01 14:10:49,Interview,P031
VL0019,Karan Singh,L011,2026-01-08 20:40:03,Personal visit,P018
VL0020,Shalini Mohanty,L026,2026-04-04 06:20:41,Personal visit,P033
VL0021,Sandeep Das,L022,2025-09-10 15:10:29,Maintenance,P032
VL0022,Vivek Sethi,L010,2025-12-13 19:00:32,Personal visit,P004
VL0023,Arjun Sethi,L022,2025-10-22 14:20:46,Maintenance,P025
VL0024,Gaurav Mallick,L010,2025-11-06 19:15:01,Personal visit,P012
VL0025,Swati Bal,L026,2026-03-31 08:25:45,Personal visit,P013
VL0026,Ritu Pradhan,L011,2025-12-10 18:45:16,Interview,P033
VL0027,Shweta Bal,L010,2025-11-22 15:00:50,Delivery,P040
VL0028,Arvind Nayak,L002,2025-11-09 12:35:14,Interview,P034
VL0029,Shweta Pradhan,L018,2026-04-09 11:40:18,Meeting,P008
VL0030,Manoj Jena,L026,2025-09-10 20:35:47,Meeting,P037
VL0031,Nikhil Gupta,L002,2025-12-04 13:55:10,Meeting,P041
VL0032,Neha Singh,L026,2026-03-16 10:50:37,Delivery,P030
VL0033,Geeta Reddy,L002,2025-12-28 14:55:41,Maintenance,P038
VL0034,Radha Acharya,L018,2026-01-24 16:50:42,Maintenance,P008
VL0035,Arjun Pradhan,L014,2025-10-23 07:20:53,Personal visit,P021
VL0036,Naveen Panda,L002,2026-03-24 20:30:54,Personal visit,P023
VL0037,Siddharth Naik,L014,2025-12-18 06:00:09,Maintenance,P042
VL0038,Usha Nair,L006,2026-01-11 13:40:01,Meeting,P005
VL0039,Harish Acharya,L014,2026-04-02 22:55:46,Personal visit,P001
VL0040,Nisha Sethi,L006,2026-03-22 22:00:11,Meeting,P037
